zone_climatique,typologie,etat_isolation_menuiseries,etat_isolation_plancher_bas,etat_isolation_plancher_haut,etat_isolation_murs,scenario_renovation_enveloppe,etat_isolation_menuiseries_apres_scénario_renovation_enveloppe,etat_isolation_plancher_bas_apres_scénario_renovation_enveloppe,etat_isolation_plancher_haut_apres_scénario_renovation_enveloppe,etat_isolation_murs_apres_scénario_renovation_enveloppe,type_CH,type_ECS,CH,ECS,emetteur,scenario_renovation_systeme,usage_CH,usage_ECS,Annexe,CEP,GES,DPE,gain_CEP
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,GAZ,COL,COL,Hydraulique,S0,,,0,369,82,F,0%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,GAZ,COL,COL,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,242,54,E,34%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,GAZ,COL,COL,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,301,63,E,18%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,GAZ,COL,COL,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,310,67,E,16%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,GAZ,COL,COL,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,198,7,D,46%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,GAZ,COL,COL,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,212,18,D,43%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,GAZ,COL,COL,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,265,26,E,28%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,GAZ,COL,COL,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,271,33,E,27%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,COL,COL,Hydraulique,S0,,,0,340,76,F,8%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,COL,COL,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,222,49,D,40%
